Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16
b;30.83;0;u;g;w;v;125;t;t;1;f;g;00202;0;+
a;58.67;446;u;g;q;h;304;t;t;6;f;g;00043;560;+
a;24.50;5;u;g;q;h;15;t;f;0;f;g;00280;824;+
b;27.83;154;u;g;w;v;375;t;t;5;t;g;00100;3;+
b;20.17;5625;u;g;w;v;171;t;f;0;f;s;00120;0;+
b;32.08;4;u;g;m;v;25;t;f;0;t;g;00360;0;+
b;33.17;104;u;g;r;h;65;t;f;0;t;g;00164;31285;+
a;22.92;11585;u;g;cc;v;4;t;f;0;f;g;00080;1349;+
b;54.42;5;y;p;k;h;396;t;f;0;f;g;00180;314;+
b;42.50;4915;y;p;w;v;3165;t;f;0;t;g;00052;1442;+
b;22.08;83;u;g;c;h;2165;f;f;0;t;g;00128;0;+
b;29.92;1835;u;g;c;h;4335;t;f;0;f;g;00260;200;+
a;38.25;6;u;g;k;v;1;t;f;0;t;g;00000;0;+
b;48.08;604;u;g;k;v;4;f;f;0;f;g;00000;2690;+
a;45.83;105;u;g;q;v;5;t;t;7;t;g;00000;0;+
b;36.67;4415;y;p;k;v;25;t;t;10;t;g;00320;0;+
b;28.25;875;u;g;m;v;96;t;t;3;t;g;00396;0;+
a;23.25;5875;u;g;q;v;317;t;t;10;f;g;00120;245;+
b;21.83;25;u;g;d;h;665;t;f;0;t;g;00000;0;+
a;19.17;8585;u;g;cc;h;75;t;t;7;f;g;00096;0;+
b;25.00;1125;u;g;c;v;25;t;t;17;f;g;00200;1208;+
b;23.25;1;u;g;c;v;835;t;f;0;f;s;00300;0;+
a;47.75;8;u;g;c;v;7875;t;t;6;t;g;00000;1260;+
a;27.42;145;u;g;x;h;3085;t;t;1;f;g;00120;11;+
a;41.17;65;u;g;q;v;5;t;t;3;t;g;00145;0;+
a;15.83;585;u;g;c;h;15;t;t;2;f;g;00100;0;+
a;47.00;13;u;g;i;bb;5165;t;t;9;t;g;00000;0;+
b;56.58;185;u;g;d;bb;15;t;t;17;t;g;00000;0;+
b;57.42;85;u;g;e;h;7;t;t;3;f;g;00000;0;+
b;42.08;104;u;g;w;v;5;t;t;6;t;g;00500;10000;+
b;29.25;1479;u;g;aa;v;504;t;t;5;t;g;00168;0;+
b;42.00;979;u;g;x;h;796;t;t;8;f;g;00000;0;+
b;49.50;7585;u;g;i;bb;7585;t;t;15;t;g;00000;5000;+
a;36.75;5125;u;g;e;v;5;t;f;0;t;g;00000;4000;+
a;22.58;1075;u;g;q;v;415;t;t;5;t;g;00000;560;+
b;27.83;15;u;g;w;v;2;t;t;11;t;g;00434;35;+
b;27.25;1585;u;g;cc;h;1835;t;t;12;t;g;00583;713;+
a;23.00;1175;u;g;x;h;5;t;t;2;t;g;00300;551;+
b;27.75;585;y;p;cc;v;25;t;t;2;f;g;00260;500;+
b;54.58;9415;u;g;ff;ff;14415;t;t;11;t;g;00030;300;+
b;34.17;917;u;g;c;v;45;t;t;12;t;g;00000;221;+
b;28.92;15;u;g;c;h;5335;t;t;11;f;g;00000;2283;+
b;29.67;1415;u;g;w;h;75;t;t;1;f;g;00240;100;+
b;39.58;13915;u;g;w;v;8625;t;t;6;t;g;00070;0;+
b;56.42;28;y;p;c;v;285;t;t;40;f;g;00000;15;+
b;54.33;675;u;g;c;h;2625;t;t;11;t;g;00000;284;+
a;41.00;204;y;p;q;h;125;t;t;23;t;g;00455;1236;+
