"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"1","Joel Embiid","Phi","C-F","29","52","35","37.2","14.5","614","0.858","908","0.567","160","0.363","0.564","0.647","33.3","10.1","4.1","1.1","1.6","3.5","43.4","37.4","47.5","12.7","123.1","103.5"
"2","Luka Doncic","Dal","F-G","24","57","36.3","38.2","14.3","629","0.736","804","0.586","453","0.349","0.563","0.613","33","8.6","8","1.5","0.5","3.7","41.6","41","49.6","14.5","120.6","108.4"
"3","Damian Lillard","Por","G","32.7","53","36.2","34","13.5","500","0.918","502","0.578","600","0.375","0.569","0.648","32.3","4.6","7.2","0.9","0.3","3.2","37","39.5","44.2","11.3","127.8","116"
"4","Giannis Antetokounmpo","Mil","F","28.3","52","32.5","39","16.2","659","0.654","916","0.581","150","0.28","0.558","0.598","31.2","11.9","5.5","0.7","0.8","4","43.1","36.7","48.6","15.6","116","99.2"
"5","Shai Gilgeous-Alexander","Okc","G-F","24.7","56","35.6","32.6","12.6","597","0.906","986","0.534","146","0.342","0.532","0.626","31.2","4.8","5.7","1.7","1.1","2.9","35.9","36.8","41.6","10.7","124.8","110.3"
"6","Jayson Tatum","Bos","F-G","25","62","37.4","32.9","12.2","518","0.859","748","0.547","581","0.355","0.54","0.604","30.3","8.8","4.7","1","0.8","3","39.2","35.1","43.9","11.5","118.1","107.7"
"7","Stephen Curry","Gol","G","35","40","34.5","30.9","14.1","214","0.925","332","0.584","462","0.433","0.622","0.668","29.7","6.2","6.4","1","0.4","3.3","35.9","36.1","42.3","12.2","124.3","111.1"
"8","Kevin Durant","Bro","F","34.4","39","36","31.6","15.6","285","0.937","545","0.622","189","0.376","0.607","0.674","29.7","6.7","5.3","0.8","1.5","3.5","36.4","35","41.7","11.3","122.4","110.6"
"9","LeBron James","Lal","F","38.2","47","36.1","33.2","12.2","295","0.759","735","0.588","325","0.308","0.549","0.583","29.5","8.4","6.9","0.9","0.6","3.1","38","36.5","44.9","13.2","115","110.3"
"10","Devin Booker","Pho","G","26.4","39","34.1","32.2","10.5","243","0.835","556","0.541","246","0.37","0.546","0.593","27.6","4.6","5.8","0.8","0.4","2.4","32.2","33.4","38","10.6","119.6","109.1"
"11","Kyrie Irving","Dal","G","31","11","37.9","28.1","10.2","54","0.944","124","0.581","87","0.414","0.597","0.645","27.5","5.1","6.6","1.2","0.4","2.2","32.6","34.2","39.3","10.3","129.3","110.9"
"12","Donovan Mitchell","Cle","G","26.5","57","35.5","31.7","11.7","296","0.878","616","0.558","535","0.383","0.566","0.61","27.4","4.1","4.7","1.5","0.4","2.7","31.5","32.2","36.3","9.1","118.4","106.7"
"13","Kyrie Irving","Bro","G","31","40","36.9","29.8","10","179","0.883","471","0.569","348","0.374","0.565","0.604","27.1","5.1","5.3","1","0.8","2.3","32.2","32.4","37.5","9.8","118","111.5"
"14","Ja Morant","Mem","G","23.6","53","32.5","35.3","14.1","453","0.744","825","0.512","269","0.316","0.502","0.555","27.1","6","8.2","1.1","0.2","3.4","33.1","35.3","41.3","13.5","114.6","108.6"
"15","Kevin Durant","Pho","F","34.4","3","32.7","24.1","12.4","17","0.882","29","0.759","13","0.538","0.774","0.808","26.7","7.3","3.7","0.3","1.3","2","34","30.3","37.7","11","145.1","110.3"
"16","Trae Young","Atl","G","24.5","59","35.1","33.1","17.4","511","0.886","768","0.483","383","0.329","0.487","0.572","26.7","3","10.1","1.2","0.2","4.1","29.7","36.7","39.7","10.6","115.7","117"
"17","Mikal Bridges","Bro","F","26.5","10","35","27.3","8","64","0.922","117","0.547","54","0.481","0.602","0.665","26.5","5.3","3.3","1.1","0.8","1.5","31.8","29.8","35.1","8.8","130.9","113.5"
"18","Anthony Davis","Lal","F-C","30","41","33.4","29.4","11.7","321","0.81","657","0.591","64","0.266","0.574","0.63","26.5","12.5","2.5","1","2.1","2.3","39","29","41.5","11.2","123.5","104.4"
