,year,state,month,number,date,risc
0,1998,Acre,Janeiro,0.0,1998-01-01,low
1,1999,Acre,Janeiro,0.0,1999-01-01,low
2,2000,Acre,Janeiro,0.0,2000-01-01,low
3,2001,Acre,Janeiro,0.0,2001-01-01,low
4,2002,Acre,Janeiro,0.0,2002-01-01,low
5,2003,Acre,Janeiro,10.0,2003-01-01,low
6,2004,Acre,Janeiro,0.0,2004-01-01,low
7,2005,Acre,Janeiro,12.0,2005-01-01,low
8,2006,Acre,Janeiro,4.0,2006-01-01,low
9,2007,Acre,Janeiro,0.0,2007-01-01,low
10,2008,Acre,Janeiro,0.0,2008-01-01,low
11,2009,Acre,Janeiro,0.0,2009-01-01,low
12,2010,Acre,Janeiro,1.0,2010-01-01,low
13,2011,Acre,Janeiro,0.0,2011-01-01,low
14,2012,Acre,Janeiro,0.0,2012-01-01,low
15,2013,Acre,Janeiro,0.0,2013-01-01,low
16,2014,Acre,Janeiro,0.0,2014-01-01,low
17,2015,Acre,Janeiro,1.0,2015-01-01,low
18,2016,Acre,Janeiro,12.0,2016-01-01,low
19,2017,Acre,Janeiro,0.0,2017-01-01,low
20,1998,Acre,Fevereiro,0.0,1998-01-01,low
21,1999,Acre,Fevereiro,0.0,1999-01-01,low
22,2000,Acre,Fevereiro,0.0,2000-01-01,low
23,2001,Acre,Fevereiro,0.0,2001-01-01,low
24,2002,Acre,Fevereiro,1.0,2002-01-01,low
25,2003,Acre,Fevereiro,0.0,2003-01-01,low
26,2004,Acre,Fevereiro,3.0,2004-01-01,low
27,2005,Acre,Fevereiro,0.0,2005-01-01,low
28,2006,Acre,Fevereiro,0.0,2006-01-01,low
29,2007,Acre,Fevereiro,5.0,2007-01-01,low
30,2008,Acre,Fevereiro,0.0,2008-01-01,low
31,2009,Acre,Fevereiro,2.0,2009-01-01,low
32,2010,Acre,Fevereiro,0.0,2010-01-01,low
33,2011,Acre,Fevereiro,0.0,2011-01-01,low
34,2012,Acre,Fevereiro,0.0,2012-01-01,low
35,2013,Acre,Fevereiro,0.0,2013-01-01,low
36,2014,Acre,Fevereiro,0.0,2014-01-01,low
37,2015,Acre,Fevereiro,2.0,2015-01-01,low
38,2016,Acre,Fevereiro,5.0,2016-01-01,low
39,2017,Acre,Fevereiro,1.0,2017-01-01,low
40,1998,Acre,Março,0.0,1998-01-01,low
41,1999,Acre,Março,0.0,1999-01-01,low
42,2000,Acre,Março,11.0,2000-01-01,low
43,2001,Acre,Março,0.0,2001-01-01,low
44,2002,Acre,Março,0.0,2002-01-01,low
45,2003,Acre,Março,0.0,2003-01-01,low
46,2004,Acre,Março,0.0,2004-01-01,low
47,2005,Acre,Março,3.0,2005-01-01,low
48,2006,Acre,Março,0.0,2006-01-01,low
49,2007,Acre,Março,2.0,2007-01-01,low
50,2008,Acre,Março,0.0,2008-01-01,low
51,2009,Acre,Março,1.0,2009-01-01,low
52,2010,Acre,Março,0.0,2010-01-01,low
53,2011,Acre,Março,0.0,2011-01-01,low
