,name
0,Spider-Man (Peter Parker)
1,Captain America (Steven Rogers)
2,"Wolverine (James \""Logan\"" Howlett)"
3,"Iron Man (Anthony \""Tony\"" Stark)"
4,Thor (Thor Odinson)
5,Benjamin Grimm (Earth-616)
6,Reed Richards (Earth-616)
7,Hulk (Robert Bruce Banner)
8,Scott Summers (Earth-616)
9,Jonathan Storm (Earth-616)
10,Henry McCoy (Earth-616)
11,Susan Storm (Earth-616)
12,Namor McKenzie (Earth-616)
13,Ororo Munroe (Earth-616)
14,Clinton Barton (Earth-616)
15,Matthew Murdock (Earth-616)
16,Stephen Strange (Earth-616)
17,Mary Jane Watson (Earth-616)
18,John Jonah Jameson (Earth-616)
19,Robert Drake (Earth-616)
20,Henry Pym (Earth-616)
21,Charles Xavier (Earth-616)
22,Warren Worthington III (Earth-616)
23,Piotr Rasputin (Earth-616)
24,Wanda Maximoff (Earth-616)
25,Nicholas Fury (Earth-616)
26,Janet van Dyne (Earth-616)
27,Jean Grey (Earth-616)
28,Natalia Romanova (Earth-616)
29,Kurt Wagner (Earth-616)
30,Vision (Earth-616)
31,May Reilly (Earth-616)
32,Katherine Pryde (Earth-616)
33,Carol Danvers (Earth-616)
34,Jennifer Walters (Earth-616)
35,Emma Frost (Earth-616)
36,Frank Castle (Earth-616)
37,Luke Cage (Earth-616)
38,Rogue (Anna Marie) (Earth-616)
39,Conan (Earth-616)
40,Joseph Robertson (Earth-616)
41,Pietro Maximoff (Earth-616)
42,Hercules (Earth-616)
43,Victor von Doom (Earth-616)
44,Max Eisenhardt (Earth-616)
45,Elizabeth Braddock (Earth-616)
46,Norrin Radd (Earth-616)
47,Norman Osborn (Earth-616)
48,Eugene Thompson (Earth-616)
49,Simon Williams (Earth-616)
50,Samuel Guthrie (Earth-616)
51,James Buchanan Barnes (Earth-616)
52,Remy LeBeau (Earth-616)
53,Daniel Rand (Earth-616)
54,Nathan Summers (Earth-616)
55,Elizabeth Brant (Earth-616)
56,Richard Jones (Earth-616)
57,Edwin Jarvis (Earth-616)
58,Alexander Summers (Earth-616)
59,Patricia Walker (Earth-616)
60,Human Torch (Android) (Earth-616)
61,Loki Laufeyson (Earth-616)
62,Franklin Nelson (Earth-616)
63,Brian Braddock (Earth-616)
64,Otto Octavius (Earth-616)
65,James Rhodes (Earth-616)
66,Timothy Dugan (Earth-616)
67,Crystalia Amaquelin (Earth-616)
68,Samuel Wilson (Earth-616)
69,Wilson Fisk (Earth-616)
70,Odin Borson (Earth-616)
71,Deadpool (Wade Wilson)
72,Dane Whitman (Earth-616)
73,Harold Osborn (Earth-616)
74,Franklin Richards (Earth-616)
75,Jessica Drew (Earth-616)
76,Roberto da Costa (Earth-616)
77,Rahne Sinclair (Earth-616)
78,Elizabeth Ross (Earth-616)
79,Lorna Dane (Earth-616)
80,Blaine Colt (Earth-616)
81,Johnathon Blaze (Earth-616)
82,Sif (Earth-616)
83,Red Hulk (Thaddeus Ross)
84,Jubilation Lee (Earth-616)
85,Volstagg (Earth-616)
86,Balder Odinson (Earth-616)
87,Galactus (Earth-616)
88,Danielle Moonstar (Earth-616)
89,Marc Spector (Earth-616)
90,Gwendolyne Stacy (Earth-616)
91,Medusalith Amaquelin (Earth-616)
92,Sabretooth (Victor Creed)
93,Illyana Rasputina (Earth-616)
94,Johann Shmidt (Earth-616)
95,Fandral (Earth-616)
96,Sean Cassidy (Earth-616)
97,Thomas Raymond (Earth-616)
98,Uatu (Earth-616)
99,Richard Rider (Earth-616)
100,Hogun (Earth-616)
101,Raven Darkholme (Earth-616)
102,Barbara Morse (Earth-616)
103,Blackagar Boltagon (Earth-616)
104,Brunnhilde (Earth-616)
105,Alison Blaire (Earth-616)
106,Venom (Symbiote) (Earth-616)
107,John Walker (Earth-616)
108,Greer Grant (Earth-616)
109,Karla Sofen (Earth-616)
110,William Baker (Earth-616)
111,Sharon Carter (Earth-616)
112,Felicia Hardy (Earth-616)
113,Cain Marko (Earth-616)
114,Monica Rambeau (Earth-616)
115,Maria Hill (Earth-616)
116,Ben Urich (Earth-616)
117,Heather Douglas (Earth-616)
118,Millicent Collins (Earth-616)
119,James Proudstar (Earth-616)
120,Angelica Jones (Earth-616)
121,Edward Brock (Earth-616)
122,MacDonald Gargan (Earth-616)
123,Mephisto (Earth-616)
124,Tabitha Smith (Earth-616)
125,Jean-Paul Beaubier (Earth-616)
126,Daniel Ketch (Earth-616)
127,Neena Thurman (Earth-616)
128,Wong (Earth-616)
129,Thanos (Earth-616)
130,Shang-Chi (Earth-616)
131,Alicia Masters (Earth-616)
132,Robert Baldwin (Earth-616)
133,Vance Astrovik (Earth-616)
134,Wendell Vaughn (Earth-616)
135,Chili Storm (Earth-616)
136,Abner Jenkins (Earth-616)
137,Elektra Natchios (Earth-616)
138,Bullseye (Lester) (Earth-616)
139,Forge (Earth-616)
140,Virginia Potts (Earth-616)
141,Walter Langkowski (Earth-616)
142,Gorgon (Earth-616)
143,James Madrox (Earth-616)
144,Heimdall (Earth-616)
145,Theresa Cassidy (Earth-616)
146,Laura Kinney (Earth-616)
147,Arthur Douglas (Earth-616)
148,Peter Parker (Ben Reilly) (Earth-616)
149,Warlock (Technarch) (Earth-616)
150,Kevin Plunder (Earth-616)
151,Leonard Samson (Earth-616)
152,Melissa Gold (Earth-616)
153,Lockheed (Earth-616)
154,Mercedes Knight (Earth-616)
155,Moira Kinross (Earth-616)
156,Karnak (Earth-616)
157,Namorita Prentiss (Earth-616)
158,Lockjaw (Earth-616)
159,Adam Warlock (Earth-616)
160,Heather McNeil (Earth-616)
161,Curtis Connors (Earth-616)
162,Theodore Sallis (Earth-616)
163,Adrian Toomes (Earth-616)
164,Amora (Earth-616)
165,Clea (Earth-616)
166,Mar-Vell (Earth-616)
167,Eugene Judd (Earth-616)
168,Daimon Hellstrom (Earth-616)
169,John Jonah Jameson III (Earth-616)
170,Triton (Earth-616)
171,Meggan Puceanu (Earth-616)
172,Robert Reynolds (Earth-616)
173,Aleksei Sytsevich (Earth-616)
174,Santo Vaccarro (Earth-616)
175,Jonathan Clay (Earth-616)
176,Ares (Earth-616)
177,Sersi (Earth-616)
178,Guido Carosella (Earth-616)
179,Zabu (Earth-616)
180,Michael Morbius (Earth-616)
181,Julio Richter (Earth-616)
182,Phoenix Force (Earth-616)
183,Megan Gwynn (Earth-616)
184,Kyle Richmond (Earth-616)
185,Karen Page (Earth-616)
186,Tyrone Johnson (Earth-616)
187,Maxwell Dillon (Earth-616)
188,Valerie Cooper (Earth-616)
189,Anna May (Earth-616)
190,Vlad Dracula (Earth-616)
191,Tandy Bowen (Earth-616)
192,Monet St. Croix (Earth-616)
193,Gamora (Earth-616)
194,Amara Aquilla (Earth-616)
195,Julia Carpenter (Earth-616)
196,Jane Foster (Earth-616)
197,Mortimer Toynbee (Earth-616)
198,Scott Lang (Earth-616)
199,Paige Guthrie (Earth-616)
200,Benjamin Parker (Earth-616)
201,Erik Josten (Earth-616)
202,Jeanne-Marie Beaubier (Earth-616)
203,Carl Creel (Earth-616)
204,Gloria Grant (Earth-616)
205,Michael Twoyoungmen (Earth-616)
206,Hope Summers (Earth-616)
207,Eric Masterson (Earth-616)
208,Alexander Power (Earth-616)
209,Matthew Hawk (Earth-616)
210,Jessica Jones (Earth-616)
211,Frederick Dukes (Earth-616)
212,Eric Brooks (Earth-616)
213,Eros (Earth-616)
214,Madison Jeffries (Earth-616)
215,Mandarin (Earth-616)
216,The Wizard (Earth-616)
217,Akihiro (Earth-616)
218,Sergei Kravinoff (Earth-616)
219,Jonothon Starsmore (Earth-616)
220,Helmut Zemo (Earth-616)
221,Victor Borkowski (Earth-616)
222,Edward Leeds (Earth-616)
223,Ultron (Earth-616)
224,Douglas Ramsey (Earth-616)
