,name,ID,HAIR
0,Spider-Man (Peter Parker),Secret Identity,Brown Hair
1,Captain America (Steven Rogers),Public Identity,White Hair
2,"Wolverine (James \""Logan\"" Howlett)",Public Identity,Black Hair
3,"Iron Man (Anthony \""Tony\"" Stark)",Public Identity,Black Hair
4,Thor (Thor Odinson),No Dual Identity,Blond Hair
5,Benjamin Grimm (Earth-616),Public Identity,No Hair
6,Reed Richards (Earth-616),Public Identity,Brown Hair
7,Hulk (Robert Bruce Banner),Public Identity,Brown Hair
8,Scott Summers (Earth-616),Public Identity,Brown Hair
9,Jonathan Storm (Earth-616),Public Identity,Blond Hair
10,Henry McCoy (Earth-616),Public Identity,Blue Hair
11,Susan Storm (Earth-616),Public Identity,Blond Hair
12,Namor McKenzie (Earth-616),No Dual Identity,Black Hair
13,Ororo Munroe (Earth-616),Public Identity,White Hair
14,Clinton Barton (Earth-616),Public Identity,Blond Hair
15,Matthew Murdock (Earth-616),Public Identity,Red Hair
16,Stephen Strange (Earth-616),Public Identity,Black Hair
17,Mary Jane Watson (Earth-616),No Dual Identity,Red Hair
18,John Jonah Jameson (Earth-616),No Dual Identity,Black Hair
19,Robert Drake (Earth-616),Secret Identity,Brown Hair
20,Henry Pym (Earth-616),Public Identity,Blond Hair
21,Charles Xavier (Earth-616),Public Identity,Bald
22,Warren Worthington III (Earth-616),Public Identity,Blond Hair
23,Piotr Rasputin (Earth-616),Secret Identity,Black Hair
24,Wanda Maximoff (Earth-616),Public Identity,Brown Hair
25,Nicholas Fury (Earth-616),No Dual Identity,Brown Hair
26,Janet van Dyne (Earth-616),Public Identity,Auburn Hair
27,Jean Grey (Earth-616),Public Identity,Red Hair
28,Natalia Romanova (Earth-616),Public Identity,Red Hair
29,Kurt Wagner (Earth-616),Secret Identity,Blue Hair
30,Vision (Earth-616),Secret Identity,No Hair
31,May Reilly (Earth-616),No Dual Identity,Grey Hair
32,Katherine Pryde (Earth-616),Secret Identity,Brown Hair
33,Carol Danvers (Earth-616),Public Identity,Blond Hair
34,Jennifer Walters (Earth-616),Public Identity,Brown Hair
35,Emma Frost (Earth-616),Public Identity,Brown Hair
36,Frank Castle (Earth-616),Public Identity,Black Hair
37,Luke Cage (Earth-616),No Dual Identity,Black Hair
38,Rogue (Anna Marie) (Earth-616),Secret Identity,Auburn Hair
39,Conan (Earth-616),No Dual Identity,Black Hair
40,Joseph Robertson (Earth-616),No Dual Identity,White Hair
41,Pietro Maximoff (Earth-616),Public Identity,Silver Hair
42,Hercules (Earth-616),No Dual Identity,Brown Hair
43,Victor von Doom (Earth-616),Public Identity,Brown Hair
44,Max Eisenhardt (Earth-616),Public Identity,Bald
45,Elizabeth Braddock (Earth-616),Secret Identity,Purple Hair
46,Norrin Radd (Earth-616),Public Identity,Bald
47,Norman Osborn (Earth-616),Public Identity,Auburn Hair
48,Eugene Thompson (Earth-616),Secret Identity,Strawberry Blond Hair
49,Simon Williams (Earth-616),Public Identity,Grey Hair
50,Samuel Guthrie (Earth-616),Secret Identity,Blond Hair
51,James Buchanan Barnes (Earth-616),Secret Identity,Brown Hair
